Time,Accel,Brake,Car_Speed,Car_AutoSpeed,Car_AutoStatus,Bike_A_Status,Bike_B_Status,Bike_C_Status,Bike_D_Status,Bike_Distance,Vibrate_Status,BPM
0.0200,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
0.0400,0.0000,0.0000,0.7049,0.0000,False,False,False,False,False,0.0000,False,True
0.3733,0.0000,0.0000,1.1529,0.0000,False,False,False,False,False,0.0000,False,True
0.4503,0.0000,0.0000,0.3516,0.0000,False,False,False,False,False,0.0000,False,True
0.5062,0.0000,0.0000,0.0644,0.0000,False,False,False,False,False,0.0000,False,True
0.5499,0.0000,0.0000,0.0480,0.0000,False,False,False,False,False,0.0000,False,True
0.5979,0.0000,0.0000,0.0856,0.0000,False,False,False,False,False,0.0000,False,True
0.6386,0.0000,0.0000,0.0949,0.0000,False,False,False,False,False,0.0000,False,True
0.6703,0.0000,0.0000,0.0869,0.0000,False,False,False,False,False,0.0000,False,True
0.7034,0.0000,0.0000,0.0709,0.0000,False,False,False,False,False,0.0000,False,True
0.7354,0.0000,0.0000,0.0619,0.0000,False,False,False,False,False,0.0000,False,True
0.7752,0.0000,0.0000,0.0445,0.0000,False,False,False,False,False,0.0000,False,True
0.8070,0.0000,0.0000,0.0294,0.0000,False,False,False,False,False,0.0000,False,True
0.8418,0.0000,0.0000,0.0177,0.0000,False,False,False,False,False,0.0000,False,True
0.8740,0.0000,0.0000,0.0131,0.0000,False,False,False,False,False,0.0000,False,True
0.9043,0.0000,0.0000,0.0061,0.0000,False,False,False,False,False,0.0000,False,True
0.9344,0.0000,0.0000,0.0038,0.0000,False,False,False,False,False,0.0000,False,True
0.9647,0.0000,0.0000,0.0015,0.0000,False,False,False,False,False,0.0000,False,True
1.0009,0.0000,0.0000,0.0022,0.0000,False,False,False,False,False,0.0000,False,True
1.0329,0.0000,0.0000,0.0026,0.0000,False,False,False,False,False,0.0000,False,True
1.0634,0.0000,0.0000,0.0028,0.0000,False,False,False,False,False,0.0000,False,True
1.0983,0.0000,0.0000,0.0027,0.0000,False,False,False,False,False,0.0000,False,True
1.1307,0.0000,0.0000,0.0023,0.0000,False,False,False,False,False,0.0000,False,True
1.1651,0.0000,0.0000,0.0018,0.0000,False,False,False,False,False,0.0000,False,True
1.2035,0.0000,0.0000,0.0013,0.0000,False,False,False,False,False,0.0000,False,True
1.2325,0.0000,0.0000,0.0011,0.0000,False,False,False,False,False,0.0000,False,True
