Time,Accel,Brake,Car_Speed,Car_Status,Bike_Status,Bike_Distance
0.0200,0.0000,0.0000,0.0000,False,False,0.0000
0.0400,0.0000,0.0000,0.0000,False,False,0.0000
0.3733,0.0000,0.0000,0.0000,False,False,0.0000
0.4214,0.0000,0.0000,0.0000,False,False,0.0000
0.4419,0.0000,0.0000,0.0000,False,False,0.0000
0.4577,0.0000,0.0000,0.0000,False,False,0.0000
0.4712,0.0000,0.0000,0.0000,False,False,0.0000
0.4855,0.0000,0.0000,0.0000,False,False,0.0000
0.5088,0.0000,0.0000,0.0000,False,False,0.0000
0.5323,0.0000,0.0000,0.0000,False,False,0.0000
0.5542,0.0000,0.0000,0.0000,False,False,0.0000
0.5772,0.0000,0.0000,0.0000,False,False,0.0000
0.6027,0.0000,0.0000,0.0000,False,False,0.0000
0.6255,0.0000,0.0000,0.0000,False,False,0.0000
0.6487,0.0000,0.0000,0.0000,False,False,0.0000
0.6721,0.0000,0.0000,0.0000,False,False,0.0000
0.6950,0.0000,0.0000,0.0000,False,False,0.0000
0.7144,0.0000,0.0000,0.0000,False,False,0.0000
0.7398,0.0000,0.0000,0.0000,False,False,0.0000
0.7624,1.0000,0.0000,0.0000,False,False,0.0000
0.7844,1.0000,0.0000,0.0000,False,False,0.0000
0.8020,1.0000,0.0000,0.0000,False,False,0.0000
0.8186,1.0000,0.0000,0.0000,False,False,0.0000
0.8344,1.0000,0.0000,0.0000,False,False,0.0000
0.8510,1.0000,0.0000,0.0000,False,False,0.0000
0.8684,1.0000,0.0000,0.0000,False,False,0.0000
0.8852,1.0000,0.0000,0.0000,False,False,0.0000
0.9024,1.0000,0.0000,0.0000,False,False,0.0000
0.9196,1.0000,0.0000,0.0000,False,False,0.0000
0.9360,1.0000,0.0000,0.0000,False,False,0.0000
0.9531,1.0000,0.0000,0.0000,False,False,0.0000
0.9702,1.0000,0.0000,0.0000,False,False,0.0000
0.9871,1.0000,0.0000,0.0000,False,False,0.0000
1.0058,1.0000,0.0000,0.0000,False,False,0.0000
1.0232,1.0000,0.0000,0.0000,False,False,0.0000
1.0404,1.0000,0.0000,0.0000,False,False,0.0000
1.0577,1.0000,0.0000,0.0000,False,False,0.0000
1.0738,1.0000,0.0000,0.0000,False,False,0.0000
1.0912,1.0000,0.0000,0.0000,False,False,0.0000
1.1082,1.0000,0.0000,0.0000,False,False,0.0000
1.1253,1.0000,0.0000,0.0000,False,False,0.0000
1.1422,1.0000,0.0000,0.0000,False,False,0.0000
1.1590,1.0000,0.0000,0.0000,False,False,0.0000
1.1766,1.0000,0.0000,0.0000,False,False,0.0000
1.1934,1.0000,0.0000,0.0000,False,False,0.0000
1.2104,1.0000,0.0000,0.0000,False,False,0.0000
1.2277,1.0000,0.0000,0.0000,False,False,0.0000
1.2443,1.0000,0.0000,0.0000,False,False,0.0000
1.2621,1.0000,0.0000,0.0000,False,False,0.0000
1.2791,1.0000,0.0000,0.0000,False,False,0.0000
1.2953,1.0000,0.0000,0.0000,False,False,0.0000
1.3123,1.0000,0.0000,0.0000,False,False,0.0000
1.3300,1.0000,0.0000,0.0000,False,False,0.0000
1.3462,1.0000,0.0000,0.0000,False,False,0.0000
1.3609,1.0000,0.0000,0.0000,False,False,0.0000
1.3760,1.0000,0.0000,0.0000,False,False,0.0000
1.3995,1.0000,0.0000,0.0000,False,False,0.0000
1.4140,1.0000,0.0000,0.0000,False,False,0.0000
1.4289,1.0000,0.0000,0.0000,False,False,0.0000
1.4436,1.0000,0.0000,0.0000,False,False,0.0000
1.4580,1.0000,0.0000,0.0000,False,False,0.0000
