Time,Accel,Brake,Car_Speed,Car_Status,Bike_Status,Bike_Distance
0.0200,0.0000,0.0000,0.0000,False,False,0.0000
0.0400,0.0000,0.0000,0.0000,False,False,0.0000
0.3733,0.0000,0.0000,0.0000,False,False,0.0000
0.4242,0.0000,0.0000,0.0000,False,False,0.0000
0.4458,0.0000,0.0000,0.0000,False,False,0.0000
0.4627,0.0000,0.0000,0.0000,False,False,0.0000
0.4791,0.0000,0.0000,0.0000,False,False,0.0000
0.4956,0.0000,0.0000,0.0000,False,False,0.0000
0.5130,0.0000,0.0000,0.0000,False,False,0.0000
0.5343,0.0000,0.0000,0.0000,False,False,0.0000
0.5616,0.0000,0.0000,0.0000,False,False,0.0000
0.5910,0.0000,0.0000,0.0000,False,False,0.0000
0.6184,0.0000,0.0000,0.0000,False,False,0.0000
0.6497,0.0000,0.0000,0.0000,False,False,0.0000
0.6715,0.0000,0.0000,0.0000,False,False,0.0000
0.6874,0.0000,0.0000,0.0000,False,False,0.0000
0.7030,0.0000,0.0000,0.0000,False,False,0.0000
0.7183,0.0000,0.0000,0.0000,False,False,0.0000
0.7329,0.0000,0.0000,0.0000,False,False,0.0000
0.7485,0.0000,0.0000,0.0000,False,False,0.0000
0.7675,0.0000,0.0000,0.0000,False,False,0.0000
0.7923,0.0000,0.0000,0.0000,False,False,0.0000
0.8077,0.0000,0.0000,0.0000,False,False,0.0000
0.8236,0.0000,0.0000,0.0000,False,False,0.0000
0.8393,0.0000,0.0000,0.0000,False,False,0.0000
0.8540,0.0000,0.0000,0.0000,False,False,0.0000
0.8724,0.0000,0.0000,0.0000,False,False,0.0000
0.8875,0.0000,0.0000,0.0000,False,False,0.0000
0.9030,0.0000,0.0000,0.0000,False,False,0.0000
0.9183,0.0000,0.0000,0.0000,False,False,0.0000
1.0549,0.0000,0.0000,0.0000,False,False,0.0000
1.0878,0.0000,0.0000,0.0000,False,False,0.0000
1.1102,0.0000,0.0000,0.0000,False,False,0.0000
1.1255,0.0000,0.0000,0.0000,False,False,0.0000
1.1416,0.0000,0.0000,0.0000,False,False,0.0000
1.1570,0.0000,0.0000,0.0000,False,False,0.0000
1.1718,0.0000,0.0000,0.0000,False,False,0.0000
1.1894,0.0000,0.0000,0.0000,False,False,0.0000
1.2130,0.0000,0.0000,0.0000,False,False,0.0000
1.2283,0.0000,0.0000,0.0000,False,False,0.0000
1.2435,0.0000,0.0000,0.0000,False,False,0.0000
1.2588,0.0000,0.0000,0.0000,False,False,0.0000
1.2734,0.0000,0.0000,0.0000,False,False,0.0000
1.2890,0.0000,0.0000,0.0000,False,False,0.0000
1.3127,0.0000,0.0000,0.0000,False,False,0.0000
1.3278,0.0000,0.0000,0.0000,False,False,0.0000
1.3432,0.0000,0.0000,0.0000,False,False,0.0000
1.3586,0.0000,0.0000,0.0000,False,False,0.0000
1.3731,0.0000,0.0000,0.0000,False,False,0.0000
1.3964,0.0000,0.0000,0.0000,False,False,0.0000
1.4115,0.0000,0.0000,0.0000,False,False,0.0000
1.4267,0.0000,0.0000,0.0000,False,False,0.0000
1.4423,0.0000,0.0000,0.0000,False,False,0.0000
1.4574,0.0000,0.0000,0.0000,False,False,0.0000
1.4797,0.0000,0.0000,0.0000,False,False,0.0000
1.4949,0.0000,0.0000,0.0000,False,False,0.0000
1.5102,0.0000,0.0000,0.0000,False,False,0.0000
1.5254,0.0000,0.0000,0.0000,False,False,0.0000
1.5404,0.0000,0.0000,0.0000,False,False,0.0000
1.5553,0.0000,0.0000,0.0000,False,False,0.0000
1.5777,0.0000,0.0000,0.0000,False,False,0.0000
