Time,Accel,Brake,Car_Speed,Car_AutoSpeed,Car_AutoStatus,Bike_A_Status,Bike_B_Status,Bike_C_Status,Bike_D_Status,Bike_Distance,Vibrate_Status,BPM
0.0200,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
0.0400,0.0000,0.0000,0.7049,0.0000,False,False,False,False,False,0.0000,False,True
0.3733,0.0000,0.0000,1.1529,0.0000,False,False,False,False,False,0.0000,False,True
0.4804,0.0000,0.0000,0.1348,0.0000,False,False,False,False,False,0.0000,False,True
0.5384,0.0000,0.0000,0.0296,0.0000,False,False,False,False,False,0.0000,False,True
0.5847,0.0000,0.0000,0.0856,0.0000,False,False,False,False,False,0.0000,False,True
0.6248,0.0000,0.0000,0.0949,0.0000,False,False,False,False,False,0.0000,False,True
0.6675,0.0000,0.0000,0.0869,0.0000,False,False,False,False,False,0.0000,False,True
0.7078,0.0000,0.0000,0.0709,0.0000,False,False,False,False,False,0.0000,False,True
0.7427,0.0000,0.0000,0.0530,0.0000,False,False,False,False,False,0.0000,False,True
0.7759,0.0000,0.0000,0.0445,0.0000,False,False,False,False,False,0.0000,False,True
0.8105,0.0000,0.0000,0.0294,0.0000,False,False,False,False,False,0.0000,False,True
0.8427,0.0000,0.0000,0.0177,0.0000,False,False,False,False,False,0.0000,False,True
0.8828,0.0000,0.0000,0.0092,0.0000,False,False,False,False,False,0.0000,False,True
0.9140,0.0000,0.0000,0.0062,0.0000,False,False,False,False,False,0.0000,False,True
0.9448,0.0000,0.0000,0.0022,0.0000,False,False,False,False,False,0.0000,False,True
0.9758,0.0000,0.0000,0.0015,0.0000,False,False,False,False,False,0.0000,False,True
1.0083,0.0000,0.0000,0.0022,0.0000,False,False,False,False,False,0.0000,False,True
1.0381,0.0000,0.0000,0.0026,0.0000,False,False,False,False,False,0.0000,False,True
1.0700,0.0000,0.0000,0.0028,0.0000,False,False,False,False,False,0.0000,False,True
1.1094,0.0000,0.0000,0.0025,0.0000,False,False,False,False,False,0.0000,False,True
1.1447,0.0000,0.0000,0.0021,0.0000,False,False,False,False,False,0.0000,False,True
1.1786,0.0000,0.0000,0.0018,0.0000,False,False,False,False,False,0.0000,False,True
1.2098,0.0000,0.0000,0.0013,0.0000,False,False,False,False,False,0.0000,False,True
1.2423,0.0000,0.0000,0.0008,0.0000,False,False,False,False,False,0.0000,False,True
1.2738,0.0000,0.0000,0.0007,0.0000,False,False,False,False,False,0.0000,False,True
